drive;label;type;fs;used;percent;free;total;status
C:\;Windows;Local disk drive;NTFS;56540315648;53.00432872772759;50130812928;106671128576;Healthy
D:\;Document;Local disk drive;NTFS;141989158912;96.03714764923942;5859004416;147848163328;Critical
